name,mass_msun_somers,mass_spotless_msun,teff_k,lstar_lsun,log_macc,log_lacc,radius_au,dist_pc,reference,category,mass_calibration,spot_coverage_fraction,mass_msun,mass_kg,lacc_w,power_density_w_per_kg
J11075792-7738449,1.033185573770492,0.888,4350,0.719,-7.99,-1.01,190.0,,,young_stellar_objects,somers_2020_spots,0.17,1.033185573770492,2.05445851787541e+30,3.7408640818188433e+25,1.820851601173922e-05
J11075809-7742413,0.3385777049180328,0.291,3415,0.22,-8.092,-1.37,15.0016,187.52,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.3385777049180328,6.732516088983607e+29,1.6329463979724964e+25,2.4254623032308547e-05
J11080002-7717304,0.7341667759562842,0.631,4060,1.371,-9.85,-3.08,24.83,190.0,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.7341667759562842,1.4598686089857925e+30,3.183991715781024e+23,2.181012521389184e-07
J11080297-7738425,0.6189805464480875,0.532,3705,0.168,-8.99,-1.86,190.0,,,young_stellar_objects,somers_2020_spots,0.17,0.6189805464480875,1.2308242471956286e+30,5.284110964899842e+24,4.293148251620346e-06
J11081850-7730408,0.0523573770491803,0.045,2935,0.013,-11.4,-5.04,186.7,,,young_stellar_objects,somers_2020_spots,0.17,0.0523573770491803,1.0411107354098356e+29,3.491177493054422e+21,3.3533200401397384e-08
J11082238-7730277,0.0895892896174863,0.077,3060,0.042,-9.619,-3.22,190.11,,,young_stellar_objects,somers_2020_spots,0.17,0.0895892896174863,1.7814561472568298e+29,2.3065980954926405e+23,1.2947824166451973e-06
J11082650-7715550,0.0814448087431694,0.07,3060,0.021,-10.67,-4.16,195.78,,,young_stellar_objects,somers_2020_spots,0.17,0.0814448087431694,1.6195055884153006e+29,2.6483289566776882e+22,1.6352700327938354e-07
J11083905-7716042,0.841208524590164,0.723,4060,0.464,-8.59,-1.49,17.082,189.8,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.841208524590164,1.6727179148918034e+30,1.238716518726617e+25,7.405411920914e-06
J11085090-7625135,0.0907527868852459,0.078,3060,0.043,-10.27,-3.89,192.24,,,young_stellar_objects,somers_2020_spots,0.17,0.0907527868852459,1.8045919413770494e+29,4.931419283881316e+22,2.7327060322114953e-07
J11085367-7521359,0.5782581420765028,0.497,3705,0.269,-7.909,-0.92,28.5765,190.51,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.5782581420765028,1.1498489677748635e+30,4.6022682557154565e+25,4.002498053828374e-05
J11085464-7702129,0.7097333333333334,0.61,3780,0.183,-9.064,-1.89,24.83,190.0,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.7097333333333334,1.4112834413333334e+30,4.931419283881318e+24,3.4942798444671593e-06
J11085497-7632410,0.0895892896174863,0.077,3060,0.039,-10.18,-3.78,193.42,,,young_stellar_objects,somers_2020_spots,0.17,0.0895892896174863,1.7814561472568298e+29,6.3528986816709856e+22,3.5661268965017627e-07
J11091812-7630292,0.7597637158469946,0.653,3850,0.329,-8.904,-1.77,183.64,,,young_stellar_objects,somers_2020_spots,0.17,0.7597637158469946,1.5107673560502734e+30,6.500876701623557e+24,4.303029632980254e-06
J11092266-7634320,0.6783189071038251,0.583,3705,0.109,-9.299,-1.99,193.09,,,young_stellar_objects,somers_2020_spots,0.17,0.6783189071038251,1.348816797208743e+30,3.917165574450727e+24,2.9041494608882052e-06
J11092379-7623207,0.5770946448087432,0.496,3780,0.784,-7.113,-0.32,32.4904,191.12,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.5770946448087432,1.1475353883628416e+30,1.8321959934110596e+26,0.00015966357220800008
J11094621-7634463,0.3816271038251366,0.328,3415,0.09,-9.235,-2.26,27.4806,196.29,"Manara+16,17",young_stellar_objects,somers_2020_spots,0.17,0.3816271038251366,7.588540471431694e+29,2.1036424651269878e+24,2.7721305210751595e-06
